"Source:","E:\Docs\Dropbox\Projects\LMX_PLL\LMX_PLL_HW\LMX2332V01.kicad_sch"
"Date:","06/11/2021 21:59:47"
"Tool:","Eeschema (5.99.0-11753-g5574682d44)"
"Component Count:","51"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","120pF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C2","820pF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C3","DNP","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C4","1000pF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C5","10uF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C6","0.01uF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C7","10u","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C8","0.01uF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C9","10u","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C10","10u","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C11","10u","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C12","0.01uF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C13","0.01uF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C14","100pF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C15","100pF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"C16","1000pF","Capacitors_SMD:C_0805_HandSoldering","~","",""
"D1","LED","LED_SMD:LED_0805_2012Metric","~","",""
"D2","LED","LED_SMD:LED_0805_2012Metric","~","",""
"FB1","Ferrite_Bead_Small","Capacitors_SMD:C_0805_HandSoldering","~","",""
"H1","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad","~","",""
"H2","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad","~","",""
"H3","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad","~","",""
"H4","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad","~","",""
"J1","142-0701-201","LMX_PLL_HW:JOHNSON_142-0701-201","","",""
"J2","Conn_01x04_Male","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","~","",""
"J3","Screw_Terminal_01x02","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~","",""
"R1","0","Resistors_SMD:R_0805_HandSoldering","~","",""
"R2","53k6","Resistors_SMD:R_0805_HandSoldering","~","",""
"R3","16.5","Resistors_SMD:R_0805_HandSoldering","~","",""
"R4","16.5","Resistors_SMD:R_0805_HandSoldering","~","",""
"R5","16.5","Resistors_SMD:R_0805_HandSoldering","~","",""
"R6","10k","Resistors_SMD:R_0805_HandSoldering","~","",""
"R7","10k","Resistors_SMD:R_0805_HandSoldering","~","",""
"R8","10k","Resistors_SMD:R_0805_HandSoldering","~","",""
"R9","16k","Resistors_SMD:R_0805_HandSoldering","~","",""
"R10","4k7","Resistors_SMD:R_0805_HandSoldering","~","",""
"R11","11k","Resistors_SMD:R_0805_HandSoldering","~","",""
"R12","1k5","Resistors_SMD:R_0805_HandSoldering","~","",""
"R13","0","Resistors_SMD:R_0805_HandSoldering","~","",""
"R14","DNP","Resistors_SMD:R_0805_HandSoldering","~","",""
"R15","DNP","Resistors_SMD:R_0805_HandSoldering","~","",""
"R16","200","Resistors_SMD:R_0805_HandSoldering","~","",""
"R17","2k8","Resistors_SMD:R_0805_HandSoldering","~","",""
"R18","800","Resistors_SMD:R_0805_HandSoldering","~","",""
"R19","0","Resistors_SMD:R_0805_HandSoldering","~","",""
"R20","0","Resistors_SMD:R_0805_HandSoldering","~","",""
"U1","Z-CommV440","LMX_PLL_HW:Z-CommVCO","","",""
"U2","LMX2332","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm","","",""
"U3","ToyocomTCXO","LMX_PLL_HW:ToyocomTCXO","","",""
"U4","TPS784-Q1","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps763.pdf","",""
"U5","TPS784-Q1","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps763.pdf","",""
